Polish,English
to,this
się,myself
na,on
co,What
że,That
jest,Is
do,down
tak,Yes
jak,How
mnie,me
ale,But
mi,to me
za,behind
ja,I
ci,these
tu,here
go,him
tego,this
tym,this
ty,you
czy,Whether
tylko,Just
po,after
jestem,I am
cię,you
ma,has
może,Maybe
już,Already
mam,I have
jesteś,You are
pan,Mr
coś,something
dla,For
wiem,I know
dobrze,All right
jeśli,If
od,From
teraz,Now
proszę,Please
tam,over there
wszystko,All
masz,You have
więc,So
nic,nothing
być,to be
będzie,will be
gdzie,Where
są,are
on,he
mogę,I can
ten,this
ciebie,you
sobie,herself
wiesz,You know
ze,That
bardzo,Very
jej,her
kiedy,When
był,was
jeszcze,still
nas,us
chcę,I want
mój,my
było,was
no,yeah
przez,By
by,that
pani,you
ją,I
jego,his
ich,their
dlaczego,Why
chcesz,You want
żeby,To
tutaj,here
mamy,We have
też,Too
bo,because
dobra,All right
kto,Who
nigdy,Never
przepraszam,Sorry
mu,him
naprawdę,Really
możesz,You can
chyba,I guess
porządku,order
dziękuję,Thank you
muszę,I have to
panie,ladies
właśnie,Exactly
ona,She
domu,house
zrobić,to do
nawet,even
gdy,When
prawda,True
te,these
nam,U.S
będę,I will
zawsze,Always
bez,without
nim,him
je,them
była,was
jesteśmy,We are
dzięki,Thanks
tej,this
moja,My
trochę,A bit
ktoś,someone
musisz,you have to
cześć,Hi
hej,Hi
lat,years
moje,my
pana,Mr
musimy,we must
dalej,next
twój,your
wszyscy,all
czas,time
chce,I want
który,which
więcej,more
tobą,you
boże,God
powiedzieć,to say
sam,alone
chodzi,goes
czego,what
ta,this
możemy,We can
albo,or
mną,me
razem,Together
niech,let
dobry,Good
raz,once
stało,stood
was,mustache
czym,what
prostu,just
będziesz,you will
chodź,come
czemu,Why
przed,Before
ludzi,people
daj,give
ludzie,People
dzień,Day
przy,by
życie,life
niż,than
robisz,you do
myślę,I think
lepiej,Better
kim,Who is
myślisz,Do you think
miał,had
my,we
nikt,nobody
czasu,time
powiedz,Say
rzeczy,things
twoja,your
tych,these
stąd,hence
niego,him
mówi,says
im,them
temu,ago
jeden,one
pod,under
musi,has to
siebie,myself
twoje,your
powiedział,he said
oczywiście,Of course
ok,Approx
moim,my
oni,they
dwa,two
które,which
pewnie,Sure
dziś,today
kurwa,whore
wie,knows
taki,such
aby,To
skąd,from where
cholera,cholera
dzieje,history
wygląda,looks like
wtedy,then
mojego,mine
takie,such
ile,how much
wszystkie,all
mieć,to have
dlatego,Which is why
znaczy,means
będziemy,we will be
potem,later
jasne,Of course
iść,to go
dużo,A lot
cóż,Well
tę,these
byłem,I was
rozumiem,I see
wam,you
miejsce,place
cały,whole
trzeba,it's necessary to
moją,My
można,you can
pomóc,help
jako,as
nich,them
szybko,Quick
jakiś,some
mojej,mine
